,total_pa,age,years_after_28,primary_position,bats,avg_lineup_position_,total_pa_,avg_lineup_position,ops_reg,k_rate_batter_reg,bb_rate_batter_reg,batter_avg_exp_ba_reg,batter_avg_xwoba_reg,batter_avg_woba_reg,babip_batter_reg,fly_balls_ratio_batter_reg,ground_balls_ratio_batter_reg,line_drives_ratio_batter_reg,popups_ratio_batter_reg,hr_fb_pct_batter_reg
0,60.0,24.0,0.0,lf,R,8.843137254901961,113.125,5.002857585924129,0.6114950155921051,0.30612595681532473,0.040820188108982344,0.2361059286188807,0.24862551927092316,0.2844683245125497,0.3790859414678033,0.1304854255782228,0.39216869131439364,0.10214986985791097,0.05221146581850109,0.05106919494301562
1,91.0,27.0,0.0,lf,R,6.264132069220379,148.625,5.002857585924129,0.6146051217666801,0.18575185450812196,0.04033773617818418,0.3175364301109252,0.33937707566252184,0.28933644770116523,0.27795009253741554,0.16350069652821922,0.37226708095964506,0.2088352621255907,0.07136323729845276,0.12473841559338755
2,44.0,22.0,0.0,c,R,9.285714285714286,13.75,7.0242474263825025,0.40671690304897806,0.33087564148947424,0.08801559993905692,0.22982457597210082,0.23992877125667736,0.19364099440360938,0.19522547356374764,0.17402940075140383,0.3676036422583892,0.08610394094469295,0.05608164132475219,0.04630875336421883
3,60.0,23.0,0.0,lf,R,7.0,13.75,5.002857585924129,0.39997673776514603,0.26192686126987963,0.09050051841992249,0.30878459167825867,0.36146495038875415,0.2249902954532721,0.1845975389076161,0.12368608811954795,0.4153914374512228,0.12055968398080869,0.049901226904619164,0.04749350389857448
4,555.0,27.0,0.0,cf,L,4.462936564504633,175.375,5.906513769866786,0.7352705263262465,0.14967606347092513,0.07977790756194887,0.2559363419326908,0.28248548008834273,0.32727081765352267,0.25435998111507324,0.26567119578196785,0.28862476294706085,0.17172157676139538,0.1020944287972358,0.12857453697749188
5,138.0,29.0,1.0,lf,R,9.0,4.375,5.002857585924129,0.6532868088636253,0.39052038920642596,0.047667703506511665,0.23250251668985064,0.2569997420473496,0.2966472575732109,0.47078237940253387,0.10070550957242924,0.37078287490244555,0.09445270129495069,0.026469120475904995,0.09498700779714896
6,333.0,31.0,3.0,c,R,6.474747474747476,208.75,7.0242474263825025,0.6852083717540576,0.23955049486749772,0.03696043274319208,0.3360054688081412,0.39919762347174326,0.3097552779914642,0.3019562716627685,0.17796089640593188,0.34493532402046734,0.17739563514933282,0.04393919652241739,0.1925304179877302
7,114.0,35.0,7.0,2b,R,6.29051346324463,474.875,5.021789243444917,0.6889800162973709,0.15305389435222752,0.052340059015869515,0.30397850750461963,0.3230820465321707,0.3182391292989311,0.3027082179126921,0.2250024259309972,0.34240616525008155,0.1958373834970897,0.04741087737929819,0.07403544073383853
8,0.0,35.0,7.0,c,R,5.720930232558141,61.125,7.0242474263825025,0.6451839551123097,0.22236549380608903,0.05709327030408035,0.33199793508541203,0.3870950875627326,0.29004583062124123,0.2175602582043812,0.14848278368402815,0.4065035919469338,0.1588185375167907,0.04692036281608121,0.3492712567539029
9,139.0,25.0,0.0,lf,R,7.542012439440242,181.375,5.002857585924129,0.5959907724070583,0.33755132742487043,0.08422205081354013,0.32668756195254617,0.3603597265065697,0.28287207395486835,0.3269509796467689,0.1387902280351807,0.2761443714434953,0.16860972095308324,0.03831490342736727,0.09577953286608865
