,Unnamed: 0,player_mlb_id,playerID_LAHMAN,birthYear,birthMonth,birthDay,birthCountry,weight,height,bats,throws,debut,birthDate,year,years_after_debut,total_pa,total_bf,base_ended_inn,field_p,field_c,field_1b,field_2b,field_3b,field_ss,field_lf,field_cf,field_rf,batter_strikeout,pitcher_strikeout,batter_caught_stealing_3b,pitcher_caught_stealing_3b,batter_field_out,pitcher_field_out,batter_walk,pitcher_walk,batter_force_out,pitcher_force_out,batter_sac_fly,pitcher_sac_fly,batter_single,pitcher_single,batter_hit_by_pitch,pitcher_hit_by_pitch,batter_double,pitcher_double,batter_grounded_into_double_play,pitcher_grounded_into_double_play,batter_sac_bunt,pitcher_sac_bunt,batter_home_run,pitcher_home_run,batter_fielders_choice,pitcher_fielders_choice,batter_field_error,pitcher_field_error,batter_other_out,pitcher_other_out,batter_caught_stealing_2b,pitcher_caught_stealing_2b,batter_triple,pitcher_triple,batter_strikeout_double_play,pitcher_strikeout_double_play,batter_fielders_choice_out,pitcher_fielders_choice_out,batter_double_play,pitcher_double_play,batter_sac_fly_double_play,pitcher_sac_fly_double_play,batter_catcher_interf,pitcher_catcher_interf,batter_pickoff_caught_stealing_2b,pitcher_pickoff_caught_stealing_2b,batter_pickoff_2b,pitcher_pickoff_2b,batter_pickoff_caught_stealing_3b,pitcher_pickoff_caught_stealing_3b,batter_triple_play,pitcher_triple_play,batter_pickoff_1b,pitcher_pickoff_1b,batter_sac_bunt_double_play,pitcher_sac_bunt_double_play,batter_wild_pitch,pitcher_wild_pitch,batter_game_advisory,pitcher_game_advisory,batter_caught_stealing_home,pitcher_caught_stealing_home,batter_pickoff_3b,pitcher_pickoff_3b,batter_stolen_base_2b,pitcher_stolen_base_2b,batter_passed_ball,pitcher_passed_ball,batter_pickoff_caught_stealing_home,pitcher_pickoff_caught_stealing_home,batter_pickoff_error_3b,pitcher_pickoff_error_3b,batter_stolen_base_3b,pitcher_stolen_base_3b,batter_line_drive,pitcher_line_drive,batter_fly_ball,pitcher_fly_ball,batter_ground_ball,pitcher_ground_ball,batter_popup,pitcher_popup,hits,elig_pa,avg,tb,slg,obp,ops,babip,k_rate_batter,bb_rate_batter,hr_rate,iso,xbh,rc,pa_per_k,pa_per_bb,positions_played,k_bb_ratio_batter,earned_runs,outs_recorded,inherited_runners,innings_pitched,ERA,pitcher_hits_allowed,whip,k_rate_pitcher,bb_rate_pitcher,baa,k_bb_ratio_pitcher,avg_bf_per_outing,total_runs,batter_avg_exp_ba,pitcher_avg_exp_ba,fielding_att,mean_ba_on_field_att,errors,mean_ba_on_errors,field_pct,batter_fly_balls,batter_ground_balls,batter_line_drives,batter_pop_ups,fly_ball_ratio,ground_ball_ratio,line_drive_ratio,pop_up_ratio,gb_fb_ratio_batter,pitcher_fly_balls,pitcher_ground_balls,pitcher_line_drives,pitcher_pop_ups,gb_fb_ratio_pitcher,primary_position
0,0,0629cd765e77d52b8a43cb56621c82d949e50323,146ae8ecba2a3af909b0814df68b5d49583f5ec5,1985,12,17,D.R.,235,74,L,L,7/28/2010,12/17/1985,2021,11,0,81,0,81,0,0,0,0,0,0,0,0,0,10,0,0,0,31,0,6,0,4,0,0,0,15,0,0,0,6,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,0,32,0,4,0,0,,0,,,,,,,0.0123456790123456,,0,,,,1,,7.0,48.0,264.0,16.0,3.9375,23,0.6041666666666666,0.1234567901234567,0.074074074074074,0.2839506172839506,1.6666666666666667,3.950617283950617,,,0.3228615384615385,4.0,0.21425,,,,,,,,inf,inf,inf,inf,,10.0,33.0,15.0,7.0,3.3,p
1,1,33438ca2fdf93ff73b2e1bcc5da3058a04cf1661,543bb62c4bdd4911df4bd1a2313a975300d04ee6,1995,9,20,USA,220,74,R,R,6/5/2021,9/20/1995,2021,0,3,82,0,82,0,0,0,0,0,0,0,0,1,11,0,0,1,34,0,11,0,4,0,0,1,9,0,0,0,4,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,19,2,23,0,5,1,3,0.3333333333333333,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0853658536585365,0.0,0,0.3333333333333333,3.0,inf,1,inf,14.0,51.0,235.0,17.0,7.411764705882353,20,0.6078431372549019,0.1341463414634146,0.1341463414634146,0.2439024390243902,1.0,7.341463414634147,0.0,0.2025,0.3184915254237288,2.0,0.314,,,,0.0,2.0,0.0,0.0,5.0,8.333333333333334,3.6666666666666665,2.6666666666666665,inf,15.0,25.0,11.0,8.0,1.6666666666666667,p
2,2,f79cf1f3d100e5f34d86ce2cd4c8c35ca3daee77,e195c4bc19cb6a08203e3c9e361677b73dbfdc03,2000,10,3,USA,185,74,L,R,4/8/2022,10/3/2000,2021,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,0,,,,0,,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3d65b1ac983ce90ff1f21f56b627883affc7dad1,0029980d1ad27d254bc1f60e31a32fcdd150ea37,1997,4,22,D.R.,225,73,R,R,7/31/2019,4/22/1997,2021,2,0,161,0,161,0,0,0,0,0,0,0,0,0,36,0,0,0,55,0,18,0,3,0,2,0,22,0,3,0,9,0,4,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,26,0,50,0,8,0,0,,0,,,,,,,0.0248447204968944,,0,,,,1,,30.0,99.0,507.0,33.0,8.181818181818182,35,0.5353535353535354,0.2236024844720497,0.1118012422360248,0.217391304347826,2.0,3.453416149068323,,,0.3382596153846154,3.0,0.3256666666666666,,,,,,,,inf,inf,inf,inf,,20.0,49.0,25.0,10.0,2.45,p
4,4,80f3a94c7bf1ed6397017744dbb75ff931902e2d,d851612368c1e9612c0c2a444018af96a59bf0b9,1987,1,29,Cuba,235,75,R,R,3/31/2014,1/29/1987,2021,7,657,0,0,0,0,4822,0,1,0,0,0,0,143,0,0,0,217,0,58,0,20,0,10,0,86,0,22,0,30,0,28,0,0,0,30,0,4,0,4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,111,0,205,0,23,0,148,589,0.2512733446519524,272,0.4617996604414261,0.3408071748878923,0.8026068353293185,0.2110912343470483,0.2427843803056027,0.098471986417657,,0.2105263157894736,62,95.1307300509338,4.118881118881119,10.155172413793103,2,2.4655172413793105,0.0,,0.0,0.0,0.0,0,,,,,,,120.0,0.3433016241299303,,207.0,0.1535776699029126,2.0,0.1655,0.9903381642512076,91.0,211.0,95.0,34.0,,,,,2.318681318681319,,,,,,1b
5,5,3304ddb1ae3c28e484f383e6609fd35f1778ddf7,c8bc5aabe2cccc7fb3b5e9d74cd9ee9ee67be704,1994,3,6,D.R.,240,79,R,R,6/21/2021,3/6/1994,2021,0,0,44,0,44,0,0,0,0,0,0,0,0,0,9,0,0,0,19,0,4,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,13,0,2,0,0,,0,,,,,,,0.0681818181818181,,0,,,,1,,4.0,31.0,99.0,10.333333333333334,3.4838709677419355,9,0.4193548387096774,0.2045454545454545,0.0909090909090909,0.2045454545454545,2.25,2.9318181818181817,,,0.2963225806451613,2.0,0.307,,,,,,,,inf,inf,inf,inf,,9.0,13.0,5.0,4.0,1.4444444444444444,p
6,6,b4246bd7233f08e749626eb0b7647d295f2e37b7,330040146cac722cbbb3b1e86382e36e850da06e,1997,12,18,Venezuela,205,72,R,R,4/25/2018,12/18/1997,2021,3,358,0,0,0,0,0,0,0,0,0,66,2818,85,0,0,0,120,0,47,0,6,0,5,0,40,0,9,0,19,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,67,0,69,0,18,0,84,306,0.2745098039215686,177,0.5784313725490197,0.3867403314917127,0.9651717040407324,0.2127659574468085,0.2777777777777778,0.15359477124183,,0.303921568627451,44,75.77450980392157,3.6,6.51063829787234,2,1.8085106382978724,0.0,,0.0,0.0,0.0,0,,,,,,,53.0,0.4034166666666667,,267.0,0.3721165413533834,,,,55.0,73.0,63.0,25.0,,,,,1.3272727272727274,,,,,,rf
7,7,a70005cbd23e1b20e856625d4ad363fa8d61788b,d5c5366743bd68d9d3c9f2da1d5ba337cd6ad729,1991,7,26,D.R.,217,71,B,R,7/29/2014,7/26/1991,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,0,,,,0,,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,81272c934b63edda7b2c6ca9f268f5a594ce5131,9c4ebd617a2865a01c7ee911f9a429715209d41c,1995,9,2,D.R.,210,72,R,R,5/22/2018,9/2/1995,2021,3,554,0,1,0,0,0,0,0,4765,0,0,0,156,0,0,0,183,0,56,0,11,0,1,0,72,0,0,0,32,0,9,0,0,0,25,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,123,0,127,0,18,0,130,497,0.2615694164989939,239,0.4808853118712273,0.3363471971066907,0.8172325089779181,0.222457627118644,0.3138832997987927,0.1126760563380281,,0.2193158953722334,58,89.4446680080483,3.185897435897436,8.875,1,2.7857142857142856,0.0,,0.0,0.0,0.0,0,,,,,,,77.0,0.3394298245614035,,439.0,0.2131776765375854,10.0,0.2205,0.9772209567198178,107.0,125.0,79.0,31.0,,,,,1.1682242990654206,,,,,,ss
9,9,45be69e7dbc2d4b228aeb07ec08590cfdc6ff091,291aecd3e6d853b1682916a6f5102574082df536,1991,8,4,USA,229,75,R,R,5/5/2018,8/4/1991,2021,3,0,50,0,50,0,0,0,0,0,0,0,0,0,18,0,0,0,12,0,6,0,0,0,0,0,5,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,8,0,4,0,0,,0,,,,,,,0.02,,0,,,,1,,7.0,31.0,184.0,10.333333333333334,6.096774193548387,10,0.5161290322580645,0.36,0.12,0.2,3.0,2.76,,,0.3160909090909091,,,,,,,,,,inf,inf,inf,inf,,6.0,8.0,6.0,2.0,1.3333333333333333,p
